,dU11,dU12,dU21,dU22
0,0.8111,-0.055,-0.055,0.8618
1,0.0926,-0.0891,-0.0891,-0.4027
2,0.0016,-0.0026,-0.0026,0.4162
3,-0.2732,0.2288,0.2288,0.1627
4,0.6131,-0.0097,-0.0097,0.5876
5,0.0014,0.1572,0.1572,-0.0378
6,0.3804,-0.4261,-0.4261,0.1307
7,0.766,0.217,0.217,-0.0403
8,0.5963,0.3151,0.3151,0.6249
9,-0.29,0.0499,0.0499,-0.3981
10,0.9096,-0.1388,-0.1388,0.2748
11,0.4151,0.1279,0.1279,0.3144
12,0.373,-0.0517,-0.0517,0.7548
13,0.0221,-0.0593,-0.0593,-0.0461
14,-0.1686,-0.3032,-0.3032,0.3249
15,-0.235,0.0494,0.0494,0.691
16,0.6418,0.0407,0.0407,0.5391
17,-0.3273,-0.0648,-0.0648,-0.3426
18,0.2535,-0.418,-0.418,0.4708
19,0.0305,0.1073,0.1073,0.3912
20,0.8312,-0.2376,-0.2376,0.6299
21,0.1676,-0.0066,-0.0066,0.1998
22,0.3216,-0.0089,-0.0089,-0.2545
23,0.7572,0.5291,0.5291,-0.2386
24,0.6714,0.0316,0.0316,0.8995
25,-0.1209,-0.0481,-0.0481,-0.068
26,0.4647,-0.191,-0.191,0.18
27,0.5747,0.0493,0.0493,-0.1413
28,0.3641,-0.0255,-0.0255,0.3643
29,-0.2705,0.125,0.125,-0.0155
30,-0.4251,-0.27,-0.27,0.7898
31,0.3384,0.2939,0.2939,0.5575
32,0.4175,0.0775,0.0775,0.7107
33,-0.4437,-0.0315,-0.0315,-0.4241
34,0.4929,-0.4142,-0.4142,0.4366
35,0.2777,0.0745,0.0745,0.1072
36,0.5696,-0.0584,-0.0584,0.6511
37,-0.1229,0.0194,0.0194,0.0905
38,-0.1289,-0.0886,-0.0886,0.5884
39,0.0507,0.4573,0.4573,0.61
40,0.9718,0.0027,0.0027,0.9098
41,0.1316,-0.1666,-0.1666,-0.1432
42,0.2167,-0.0305,-0.0305,0.2465
43,-0.4128,0.1405,0.1405,0.4346
44,0.4287,-0.0141,-0.0141,0.4227
45,-0.0497,0.0595,0.0595,-0.2376
46,0.6277,-0.3212,-0.3212,-0.2573
47,0.3886,0.3014,0.3014,0.2979
48,0.7604,-0.0304,-0.0304,0.7175
49,-0.3496,-0.0259,-0.0259,-0.0308
50,0.5015,-0.0619,-0.0619,-0.1116
51,0.2232,0.2821,0.2821,-0.146
52,0.5073,0.0459,0.0459,0.3141
53,-0.2576,0.336,0.336,-0.0251
54,0.2868,-0.6357,-0.6357,0.381
55,0.2624,0.2472,0.2472,0.8499
56,0.7317,0.159,0.159,0.658
57,-0.1646,-0.0095,-0.0095,-0.1951
58,0.1759,-0.142,-0.142,0.5938
59,0.2177,0.334,0.334,0.3478
60,0.8177,-0.0151,-0.0151,0.2941
61,0.0092,-0.0481,-0.0481,0.0957
62,0.1441,-0.3532,-0.3532,-0.2176
63,0.7792,0.1771,0.1771,-0.3115
64,0.6411,0.0926,0.0926,0.7446
65,-0.4378,-0.0312,-0.0312,-0.218
66,0.6875,-0.0508,-0.0508,-0.0186
67,0.2058,0.1564,0.1564,-0.0299
68,0.646,-0.0919,-0.0919,0.831
69,0.0902,0.0266,0.0266,0.0907
70,-0.0106,-0.2915,-0.2915,0.2112
71,-0.3393,0.2552,0.2552,0.7895
72,0.8488,0.113,0.113,0.8235
73,-0.0118,-0.097,-0.097,-0.2601
74,0.2385,-0.0581,-0.0581,0.4368
75,0.0447,0.3746,0.3746,0.2345
76,0.2566,0.0257,0.0257,0.3843
77,-0.2082,0.156,0.156,-0.3381
78,0.7202,-0.4603,-0.4603,-0.136
79,0.7167,0.0062,0.0062,0.2256
80,0.9215,-0.1118,-0.1118,0.6762
81,-0.1197,-0.2672,-0.2672,-0.0984
82,0.2026,-0.1703,-0.1703,0.0707
83,0.3617,0.1745,0.1745,-0.4499
84,0.4594,-0.0183,-0.0183,0.4801
85,-0.3,0.0635,0.0635,0.1811
86,-0.2291,-0.0507,-0.0507,0.7816
87,0.1666,0.3814,0.3814,0.779
88,0.8636,0.0923,0.0923,0.361
89,-0.2859,0.1016,0.1016,-0.1908
90,0.2169,-0.2582,-0.2582,0.715
91,0.131,0.004,0.004,0.5543
92,0.4929,-0.1556,-0.1556,0.4522
93,0.046,0.0395,0.0395,-0.0564
94,0.4871,-0.2411,-0.2411,-0.3971
95,0.4209,0.4267,0.4267,0.1654
96,0.7505,0.0117,0.0117,0.7124
97,-0.2389,-0.2009,-0.2009,-0.3292
98,0.262,-0.2837,-0.2837,0.3686
99,-0.1411,0.1432,0.1432,0.2859
100,0.4523,0.0494,0.0494,0.5401
101,0.0682,0.0112,0.0112,-0.3644
102,0.8613,-0.1591,-0.1591,-0.1387
103,0.6708,0.3556,0.3556,0.3115
104,0.485,0.0426,0.0426,0.9914
105,-0.2423,-0.0065,-0.0065,-0.233
106,0.6227,-0.241,-0.241,0.3032
107,0.4757,0.0448,0.0448,0.0442
108,0.6067,-0.2426,-0.2426,0.778
109,0.2279,-0.0649,-0.0649,-0.0407
110,-0.305,-0.2161,-0.2161,0.2016
111,0.0799,0.5462,0.5462,0.1678
112,0.6169,0.1308,0.1308,0.3983
113,-0.4559,0.006,0.006,-0.3288
114,-0.0663,-0.1727,-0.1727,0.9536
115,0.2329,0.0737,0.0737,0.3063
116,0.7777,-0.0831,-0.0831,0.519
117,0.1496,0.1097,0.1097,0.1017
118,0.1749,-0.3891,-0.3891,0.0534
119,0.8009,0.3542,0.3542,-0.1631
120,0.847,-0.009,-0.009,0.8415
121,-0.1558,-0.0745,-0.0745,0.1299
122,0.3477,-0.0713,-0.0713,0.1825
123,0.1625,0.4654,0.4654,0.1048
124,0.2721,-0.0264,-0.0264,0.5752
125,-0.1035,0.0601,0.0601,-0.0208
126,-0.1518,-0.458,-0.458,0.4004
127,-0.0404,0.0974,0.0974,0.7719
128,0.781,0.0312,0.0312,0.2734
129,-0.4359,0.0107,0.0107,-0.4188
130,0.23,-0.3894,-0.3894,0.6945
131,0.2056,0.0077,0.0077,0.2643
132,0.6926,-0.0678,-0.0678,0.6368
133,0.1404,0.022,0.022,0.0371
134,0.3599,-0.2161,-0.2161,-0.0949
135,0.3017,0.5426,0.5426,0.2628
136,0.8758,0.0082,0.0082,0.9052
137,-0.1514,-0.1789,-0.1789,-0.0505
138,0.3208,-0.0819,-0.0819,0.298
139,0.3984,0.2636,0.2636,-0.3076
140,0.384,-0.0876,-0.0876,0.5566
141,-0.2,0.0002,0.0002,-0.0968
142,-0.2991,-0.1783,-0.1783,0.6431
143,0.1156,0.3631,0.3631,0.4428
144,0.6548,0.0078,0.0078,0.6492
145,-0.0785,-0.0692,-0.0692,-0.3776
146,0.0187,-0.2092,-0.2092,0.4535
147,0.1252,0.2979,0.2979,0.1355
148,0.3664,0.0071,0.0071,0.4764
149,0.0725,0.2056,0.2056,-0.244
150,0.542,-0.4728,-0.4728,0.0315
151,0.9755,0.1245,0.1245,0.1294
152,0.5636,0.1416,0.1416,0.8259
153,-0.1686,0.0029,0.0029,-0.293
154,0.7451,-0.1302,-0.1302,0.0934
155,0.3857,0.266,0.266,0.1499
156,0.3662,-0.1614,-0.1614,0.9218
157,0.1187,-0.0779,-0.0779,0.0758
158,-0.143,-0.3957,-0.3957,-0.0576
159,-0.3522,0.3898,0.3898,0.6033
160,0.8499,-0.098,-0.098,0.8172
161,-0.3952,-0.2011,-0.2011,0.1692
162,0.2701,-0.0646,-0.0646,0.0731
163,0.0231,0.3551,0.3551,-0.1212
164,0.5412,0.0132,0.0132,0.4656
165,-0.1374,0.1496,0.1496,0.0054
166,0.0214,-0.3397,-0.3397,0.599
167,0.0636,0.032,0.032,0.8727
168,0.8314,0.2259,0.2259,0.5463
169,-0.3754,0.0157,0.0157,-0.2427
170,0.1886,-0.0693,-0.0693,0.8959
171,0.1755,0.1387,0.1387,0.3646
172,0.6654,-0.1039,-0.1039,0.4352
173,-0.0749,0.0247,0.0247,-0.0778
174,0.2792,-0.4746,-0.4746,-0.0343
175,0.5832,0.1868,0.1868,-0.1372
176,0.5586,0.0231,0.0231,0.7054
177,-0.2917,-0.092,-0.092,-0.194
178,0.531,-0.2895,-0.2895,0.02
179,0.3797,0.0151,0.0151,-0.033
180,0.6541,-0.1556,-0.1556,0.7119
181,0.1476,0.0225,0.0225,0.2117
182,-0.2461,-0.1777,-0.1777,0.3337
183,0.1627,0.6115,0.6115,0.4664
184,0.8347,0.0126,0.0126,0.8043
185,-0.1003,-0.1041,-0.1041,-0.1192
186,0.2553,-0.1977,-0.1977,0.3886
187,-0.23,0.1959,0.1959,0.561
188,0.3152,-0.0221,-0.0221,0.287
189,-0.0336,0.0471,0.0471,-0.4681
190,0.986,-0.1085,-0.1085,-0.4443
191,0.6684,0.2409,0.2409,0.3179
192,0.7466,0.0012,0.0012,0.8059
193,-0.3588,-0.1783,-0.1783,-0.0331
194,0.3284,-0.2251,-0.2251,0.1325
195,0.2706,0.0935,0.0935,-0.2059
196,0.4895,0.164,0.164,0.4011
197,-0.3823,0.1343,0.1343,0.086
198,-0.0772,-0.3603,-0.3603,0.8167
199,0.5184,0.2985,0.2985,0.5794
200,0.9159,0.0683,0.0683,0.6249
201,-0.2298,-0.0558,-0.0558,-0.2709
202,0.4533,-0.2555,-0.2555,0.4652
203,-0.0002,0.2072,0.2072,0.4256
204,0.7914,-0.2055,-0.2055,0.4708
205,-0.1196,-0.014,-0.014,0.0859
206,0.4189,-0.1142,-0.1142,-0.3386
207,0.4224,0.4697,0.4697,-0.0923
208,0.4656,0.1291,0.1291,0.5402
209,-0.3663,-0.0105,-0.0105,-0.3292
210,0.7578,-0.2685,-0.2685,0.0483
211,0.2979,0.1241,0.1241,0.2617
212,0.453,-0.001,-0.001,0.6535
213,-0.0103,0.086,0.086,0.161
214,0.006,-0.3635,-0.3635,0.3384
215,-0.0924,0.1975,0.1975,0.9328
216,0.8875,-0.0485,-0.0485,0.9641
217,0.1802,-0.019,-0.019,-0.1443
218,0.0953,-0.0311,-0.0311,0.3388
219,-0.2165,0.4297,0.4297,0.2893
220,0.5056,-0.0413,-0.0413,0.308
221,-0.0616,0.151,0.151,-0.1835
222,0.1857,-0.6409,-0.6409,0.1478
223,0.6229,0.2435,0.2435,0.1036
224,0.6227,0.149,0.149,0.5941
225,-0.2794,-0.0739,-0.0739,-0.4557
226,0.0679,-0.1567,-0.1567,0.6914
227,0.1244,0.1519,0.1519,0.2287
228,0.9222,-0.0393,-0.0393,0.5709
229,0.1087,-0.0604,-0.0604,0.1871
230,0.1728,-0.1677,-0.1677,-0.0747
231,0.8888,0.105,0.105,-0.4394
232,0.764,0.1302,0.1302,0.9002
233,-0.2612,-0.0238,-0.0238,-0.1059
234,0.5803,-0.014,-0.014,0.1585
235,0.3462,0.2522,0.2522,-0.0933
236,0.4179,0.0037,0.0037,0.4073
237,-0.2593,0.1544,0.1544,-0.2039
238,0.0826,-0.6139,-0.6139,0.3797
239,0.1118,0.1509,0.1509,0.6104
240,0.687,-0.0163,-0.0163,0.8288
241,0.0197,-0.1906,-0.1906,-0.2181
242,0.0092,-0.1817,-0.1817,0.2539
243,-0.3499,0.0664,0.0664,0.3502
244,0.5295,-0.0265,-0.0265,0.5267
245,0.1918,0.1333,0.1333,-0.1073
246,0.5859,-0.2064,-0.2064,-0.2228
247,0.5761,0.4745,0.4745,0.2697
248,0.3607,0.1473,0.1473,0.7684
249,-0.3106,0.1427,0.1427,-0.36
250,0.6322,-0.402,-0.402,0.4635
251,0.5486,0.1163,0.1163,0.1992
252,0.3997,-0.2372,-0.2372,0.6296
253,-0.0105,0.0009,0.0009,-0.0057
254,-0.4279,-0.0386,-0.0386,0.4833
255,-0.1166,0.4054,0.4054,0.5812
256,0.5217,0.0893,0.0893,0.7388
257,-0.3706,-0.0602,-0.0602,-0.36
258,0.5138,-0.3726,-0.3726,0.2652
259,0.2396,0.0582,0.0582,0.0027
260,0.6665,-0.1576,-0.1576,0.8669
261,0.1656,-0.0034,-0.0034,0.1338
262,-0.1899,-0.0369,-0.0369,0.3073
263,-0.2113,0.5237,0.5237,0.5462
264,0.913,0.0426,0.0426,0.6385
265,-0.128,-0.0885,-0.0885,-0.2213
266,0.2917,-0.1165,-0.1165,0.4961
267,-0.1555,0.0228,0.0228,0.4973
268,0.3562,0.0021,0.0021,0.357
269,-0.1099,0.0777,0.0777,-0.3323
270,0.751,-0.3006,-0.3006,-0.2359
271,0.4731,0.275,0.275,0.3384
272,0.812,-0.0902,-0.0902,0.6988
273,-0.398,-0.0541,-0.0541,0.0667
274,0.4001,-0.0455,-0.0455,-0.0727
275,0.2413,0.3311,0.3311,-0.2074
276,0.4796,-0.039,-0.039,0.5664
277,-0.0356,0.1864,0.1864,-0.0146
278,0.065,-0.4518,-0.4518,0.3602
279,-0.0464,0.249,0.249,0.9209
280,0.6311,0.3154,0.3154,0.5281
281,-0.4255,0.0854,0.0854,-0.1843
282,0.1485,-0.2314,-0.2314,0.8582
283,0.3582,0.1738,0.1738,0.4276
284,0.7158,-0.0638,-0.0638,0.3455
285,0.0265,0.0033,0.0033,0.0233
286,0.2901,-0.3603,-0.3603,-0.3189
287,0.7529,0.0379,0.0379,-0.248
288,0.7372,-0.0325,-0.0325,0.797
289,0.0062,-0.0106,-0.0106,-0.4706
290,0.0592,-0.0879,-0.0879,0.5026
291,-0.1109,0.2696,0.2696,0.126
292,0.3518,0.0481,0.0481,0.5185
293,-0.1149,0.265,0.265,-0.2591
294,0.4768,-0.5623,-0.5623,0.3587
295,0.7863,0.2135,0.2135,0.2596
296,0.6995,0.1885,0.1885,0.8346
297,-0.2249,-0.0215,-0.0215,-0.1314
298,0.586,-0.1576,-0.1576,0.2564
299,0.2053,0.2475,0.2475,0.1981
300,0.4091,-0.0279,-0.0279,0.8515
301,0.1146,-0.0762,-0.0762,-0.0019
302,-0.1708,-0.3248,-0.3248,0.1772
303,-0.3085,0.1354,0.1354,0.6215
304,0.6804,0.0637,0.0637,0.4498
305,-0.3633,0.0033,0.0033,-0.3615
306,0.3161,-0.5025,-0.5025,0.4528
307,0.1182,0.0826,0.0826,0.3409
308,0.6862,-0.0727,-0.0727,0.544
309,0.2075,0.0002,0.0002,-0.0895
310,0.5817,-0.1613,-0.1613,-0.2783
311,0.5995,0.5146,0.5146,0.1399
312,0.9445,-0.0056,-0.0056,0.8516
313,-0.1177,-0.1752,-0.1752,0.1607
314,0.24,-0.0654,-0.0654,0.1626
315,0.6024,0.1303,0.1303,-0.4072
316,0.345,-0.0875,-0.0875,0.4164
317,-0.2118,0.0394,0.0394,-0.0253
318,-0.2795,-0.4067,-0.4067,0.582
319,0.4139,0.3759,0.3759,0.4386
320,0.8139,-0.0599,-0.0599,0.9807
321,-0.0737,-0.3166,-0.3166,-0.1816
322,0.1161,-0.1749,-0.1749,0.1884
323,-0.4119,0.2071,0.2071,0.2147
324,0.5479,0.0348,0.0348,0.5813
325,0.0989,0.0634,0.0634,-0.2622
326,0.7942,-0.0413,-0.0413,-0.2147
327,0.6896,0.3198,0.3198,0.1428
328,0.3868,0.0623,0.0623,0.9355
329,-0.3025,0.0072,0.0072,-0.3114
330,0.6985,-0.2583,-0.2583,0.353
331,0.5179,0.0347,0.0347,0.146
332,0.5165,-0.1409,-0.1409,0.5306
333,-0.0441,-0.0244,-0.0244,-0.0993
334,-0.2947,-0.2041,-0.2041,0.5115
335,0.1561,0.4064,0.4064,0.4159
336,0.6243,0.0015,0.0015,0.6228
337,-0.1829,-0.0294,-0.0294,-0.3767
338,-0.0532,-0.0239,-0.0239,0.7021
339,-0.0116,0.185,0.185,0.3086
340,0.8631,-0.1313,-0.1313,0.4826
341,0.1497,0.0425,0.0425,0.1347
342,0.1696,-0.3223,-0.3223,0.0155
343,0.8625,0.3453,0.3453,-0.2868
344,0.8113,0.0589,0.0589,0.8223
345,-0.1113,-0.0608,-0.0608,0.0348
346,0.4454,-0.0805,-0.0805,0.1224
347,0.2819,0.3702,0.3702,0.0301
348,0.3107,0.0026,0.0026,0.287
349,-0.3019,0.1927,0.1927,-0.0534
350,-0.1778,-0.5628,-0.5628,0.647
351,0.2401,0.0378,0.0378,0.7276
352,0.3868,0.1746,0.1746,0.6611
353,-0.4947,-0.0002,-0.0002,-0.4914
354,0.9559,-0.1162,-0.1162,0.033
355,0.288,0.0645,0.0645,0.2125
356,0.5632,-0.0405,-0.0405,0.7589
357,0.0054,0.0401,0.0401,0.0374
358,0.154,-0.3334,-0.3334,0.1715
359,-0.1329,0.4012,0.4012,0.7276
360,0.9285,0.083,0.083,0.8811
361,0.0897,-0.0895,-0.0895,-0.2292
362,0.1895,-0.0578,-0.0578,0.3433
363,0.0067,0.4046,0.4046,0.1221
364,0.5423,-0.0004,-0.0004,0.4304
365,-0.0792,0.038,0.038,-0.1544
366,0.3433,-0.4719,-0.4719,-0.085
367,0.64,0.1297,0.1297,-0.0398
368,0.6739,-0.0,-0.0,0.6737
369,-0.2623,-0.1042,-0.1042,-0.1863
370,0.2536,-0.3455,-0.3455,0.2397
371,0.2689,0.1883,0.1883,-0.1203
372,0.4712,0.0373,0.0373,0.4133
373,-0.397,0.0414,0.0414,0.2278
374,-0.2604,-0.1655,-0.1655,0.8503
375,0.2973,0.3638,0.3638,0.6932
376,0.8274,0.0072,0.0072,0.4465
377,-0.2507,0.0317,0.0317,-0.1932
378,0.3271,-0.2717,-0.2717,0.5618
379,0.0471,0.1027,0.1027,0.5759
380,0.6724,-0.3147,-0.3147,0.5051
381,0.0197,-0.0497,-0.0497,0.1944
382,0.1941,-0.2148,-0.2148,-0.3419
383,0.2315,0.6047,0.6047,0.1119
384,0.7062,0.0642,0.0642,0.7363
385,-0.3796,-0.0947,-0.0947,-0.0789
386,0.5239,-0.1582,-0.1582,0.0619
387,0.109,0.1984,0.1984,0.0306
388,0.5962,0.0066,0.0066,0.3779
389,-0.2535,0.18,0.18,0.0724
390,0.1039,-0.4601,-0.4601,0.579
391,0.1638,0.1069,0.1069,0.8157
392,0.8304,0.1635,0.1635,0.5978
393,-0.2813,-0.0,-0.0,-0.2818
394,0.2402,-0.0573,-0.0573,0.7995
395,0.1197,0.1999,0.1999,0.3832
396,0.9464,-0.1345,-0.1345,0.3846
397,0.0021,-0.1332,-0.1332,0.0951
398,0.0292,-0.3278,-0.3278,-0.0212
399,0.5468,0.3677,0.3677,-0.3211
