,dU11,dU12,dU21,dU22
0,0.1659,-0.3066,-0.3066,-0.0495
1,0.6384,0.1315,0.1315,-0.3983
2,0.6787,-0.0746,-0.0746,0.3749
3,0.1176,0.0722,0.0722,0.0344
4,0.0181,-0.276,-0.276,0.8961
5,0.2039,0.1824,0.1824,0.3657
6,0.7843,0.2678,0.2678,0.6566
7,-0.1682,-0.0282,-0.0282,-0.3218
8,0.0417,-0.6216,-0.6216,0.262
9,-0.1085,0.0111,0.0111,0.8203
10,0.5394,0.0888,0.0888,0.2798
11,-0.3046,0.1263,0.1263,-0.0561
12,0.5263,-0.1366,-0.1366,0.1973
13,0.2223,0.2102,0.2102,-0.121
14,0.8405,-0.0526,-0.0526,0.8317
15,-0.1598,-0.02,-0.02,0.1859
16,0.844,-0.0728,-0.0728,-0.1888
17,0.5142,0.2599,0.2599,0.4835
18,0.5385,-0.1365,-0.1365,0.3267
19,0.0373,0.1212,0.1212,-0.2403
20,0.0689,-0.1072,-0.1072,0.2698
21,-0.293,0.2889,0.2889,0.5079
22,0.887,0.0039,0.0039,0.7293
23,-0.2149,-0.1727,-0.1727,-0.2673
24,-0.3721,-0.1658,-0.1658,0.4673
25,0.2409,0.5512,0.5512,0.4758
26,0.6074,-0.2029,-0.2029,0.7759
27,0.0979,-0.0544,-0.0544,-0.0663
28,0.5538,-0.1896,-0.1896,0.3474
29,0.4146,0.0874,0.0874,0.0788
30,0.4278,0.0342,0.0342,0.6728
31,-0.3267,0.1016,0.1016,-0.3926
32,-0.1333,-0.2937,-0.2937,0.5871
33,0.1204,0.2785,0.2785,0.5777
34,0.3783,0.0215,0.0215,0.3734
35,-0.4407,0.0273,0.0273,0.2252
36,0.1847,-0.2945,-0.2945,0.1738
37,0.4532,0.0516,0.0516,-0.1321
38,0.9734,-0.0173,-0.0173,0.9381
39,-0.266,-0.1885,-0.1885,-0.0104
40,0.2591,-0.1517,-0.1517,-0.4151
41,0.5942,0.5032,0.5032,-0.0395
42,0.7364,-0.0883,-0.0883,0.6711
43,0.0587,0.018,0.018,-0.0894
44,0.3896,-0.3764,-0.3764,0.5812
45,0.173,0.0207,0.0207,0.2888
46,0.7089,0.0464,0.0464,0.5492
47,-0.2446,0.0258,0.0258,-0.2191
48,0.0665,-0.3232,-0.3232,0.4051
49,-0.2224,0.2617,0.2617,0.7312
50,0.3264,-0.0793,-0.0793,0.8071
51,0.1744,-0.0492,-0.0492,0.1468
52,0.7493,-0.0823,-0.0823,-0.0087
53,0.3531,0.2668,0.2668,0.141
54,0.4413,0.2235,0.2235,0.7383
55,-0.4669,-0.0171,-0.0171,-0.3857
56,0.6807,-0.5256,-0.5256,-0.0716
57,0.8552,0.2761,0.2761,0.263
58,0.5139,0.0007,0.0007,0.5228
59,-0.1177,0.0676,0.0676,-0.1236
60,0.1921,-0.0061,-0.0061,0.4077
61,-0.114,0.4239,0.4239,0.0021
62,0.6425,0.0069,0.0069,0.6306
63,-0.016,-0.0987,-0.0987,-0.2708
64,-0.0447,-0.51,-0.51,0.742
65,0.1671,0.1712,0.1712,0.5623
66,0.3879,-0.0051,-0.0051,0.4627
67,0.0121,0.1673,0.1673,0.0311
68,0.365,-0.009,-0.009,-0.0311
69,0.1111,0.4681,0.4681,-0.0284
70,0.7248,0.1055,0.1055,0.9214
71,-0.3244,-0.0961,-0.0961,-0.0561
72,0.2366,-0.4645,-0.4645,-0.1518
73,0.7471,0.3023,0.3023,-0.158
74,0.8489,-0.0574,-0.0574,0.5611
75,0.0499,-0.0866,-0.0866,0.0874
76,0.1439,-0.0927,-0.0927,0.7992
77,0.0534,0.1825,0.1825,0.1728
78,0.6665,0.2279,0.2279,0.417
79,-0.3179,0.0432,0.0432,-0.1534
80,-0.1841,-0.1209,-0.1209,0.3053
81,-0.0923,0.4796,0.4796,0.4647
82,0.4332,-0.2217,-0.2217,0.5906
83,-0.0469,0.0185,0.0185,0.0972
84,0.5284,-0.3848,-0.3848,0.3421
85,0.6058,0.0689,0.0689,0.2337
86,0.6098,0.075,0.075,0.8471
87,-0.3954,-0.0595,-0.0595,-0.3422
88,0.5493,-0.2845,-0.2845,-0.2874
89,0.8118,0.3296,0.3296,0.1673
90,0.414,0.0236,0.0236,0.4222
91,-0.1127,0.0041,0.0041,-0.496
92,0.3532,-0.1611,-0.1611,0.3793
93,-0.1737,0.0327,0.0327,0.404
94,0.7329,-0.0748,-0.0748,0.9142
95,0.0752,-0.1428,-0.1428,-0.1564
96,0.4383,-0.1104,-0.1104,-0.2387
97,0.3814,0.407,0.407,0.1557
98,0.8155,-0.2435,-0.2435,0.562
99,0.2326,0.041,0.041,0.082
100,0.0829,-0.3368,-0.3368,0.5276
101,0.0247,0.0901,0.0901,0.4566
102,0.9068,0.0565,0.0565,0.3781
103,-0.4118,0.0188,0.0188,-0.3969
104,-0.4112,-0.1009,-0.1009,0.895
105,0.5337,0.3504,0.3504,0.5661
106,0.5769,0.0054,0.0054,0.5691
107,-0.1961,0.0899,0.0899,-0.0047
108,0.2284,-0.0737,-0.0737,0.1005
109,0.198,0.1871,0.1871,-0.2819
110,0.769,-0.0006,-0.0006,0.7499
111,-0.1516,-0.0264,-0.0264,-0.1442
112,0.3427,-0.446,-0.446,0.2397
113,0.7682,0.035,0.035,-0.0557
114,0.3086,0.0125,0.0125,0.3391
115,0.0415,0.2079,0.2079,-0.3023
116,0.0996,-0.2124,-0.2124,0.5309
117,-0.0895,0.3451,0.3451,0.3822
118,0.8337,-0.0041,-0.0041,0.8338
119,0.2232,-0.0641,-0.0641,-0.4931
120,-0.0738,-0.357,-0.357,0.1873
121,-0.4343,0.1674,0.1674,0.9626
122,0.5127,-0.0308,-0.0308,0.6506
123,0.0193,-0.0494,-0.0494,-0.0424
124,0.8712,-0.1866,-0.1866,0.225
125,0.2906,0.1031,0.1031,0.1897
126,0.5526,0.0868,0.0868,0.5961
127,-0.2843,-0.0114,-0.0114,-0.2199
128,0.7146,-0.2793,-0.2793,-0.2039
129,0.448,0.3495,0.3495,0.1254
130,0.3105,0.03,0.03,0.3241
131,0.1542,0.0878,0.0878,-0.3079
132,0.1328,-0.2928,-0.2928,0.3321
133,-0.2415,0.0963,0.0963,0.4888
134,0.9811,0.023,0.023,0.884
135,0.0558,-0.2115,-0.2115,-0.1954
136,-0.3922,-0.2718,-0.2718,0.2493
137,-0.2073,0.501,0.501,0.5934
138,0.6172,-0.0628,-0.0628,0.6294
139,-0.0177,0.0012,0.0012,0.0048
140,0.6408,-0.4175,-0.4175,0.4804
141,0.336,0.0012,0.0012,0.096
142,0.506,0.0855,0.0855,0.7497
143,-0.1494,-0.0082,-0.0082,-0.1336
