,dU11,dU12,dU21,dU22
0,0.4562,0.1197,0.1197,0.395
1,-0.3276,0.1631,0.1631,-0.0613
2,-0.4582,-0.0916,-0.0916,0.7398
3,0.0261,0.2651,0.2651,0.8195
4,0.9146,-0.0845,-0.0845,0.8777
5,-0.1317,-0.1171,-0.1171,0.0369
6,0.4434,-0.0185,-0.0185,0.1191
7,0.2353,0.1066,0.1066,-0.1316
8,0.6337,-0.0255,-0.0255,0.3776
9,0.2188,0.0642,0.0642,0.044
10,0.1029,-0.3561,-0.3561,0.0307
11,0.3953,0.4931,0.4931,-0.1892
12,0.957,0.0524,0.0524,0.5615
13,-0.2538,-0.0475,-0.0475,-0.3733
14,0.3402,-0.4424,-0.4424,0.484
15,0.2308,0.1264,0.1264,0.3931
16,0.5398,-0.1015,-0.1015,0.7802
17,0.1947,-0.0523,-0.0523,-0.1151
18,-0.0431,-0.4281,-0.4281,0.3253
19,0.308,0.6168,0.6168,0.3496
20,0.4129,0.0996,0.0996,0.6313
21,-0.2448,0.0341,0.0341,-0.4117
22,0.5313,-0.2325,-0.2325,0.3113
23,0.2116,0.2115,0.2115,0.1718
24,0.4688,-0.0607,-0.0607,0.3553
25,0.0017,0.1453,0.1453,-0.114
26,0.8846,-0.2425,-0.2425,-0.0944
27,0.721,0.0244,0.0244,0.1406
28,0.818,0.0131,0.0131,0.7964
29,-0.209,-0.16,-0.16,-0.3234
30,0.0192,-0.0466,-0.0466,0.2411
31,-0.3545,0.0221,0.0221,0.6016
32,0.6679,-0.0737,-0.0737,0.6389
33,-0.0269,0.024,0.024,-0.0558
34,0.3137,-0.107,-0.107,-0.3965
35,0.7249,0.3669,0.3669,-0.2525
36,0.6228,0.1401,0.1401,0.5848
37,-0.1404,0.0077,0.0077,-0.1319
38,0.0887,-0.1002,-0.1002,0.9439
39,0.0878,0.0679,0.0679,0.2838
40,0.4278,0.0024,0.0024,0.3945
41,-0.4566,0.1619,0.1619,0.1465
42,0.0852,-0.4434,-0.4434,0.3044
43,0.1752,0.2517,0.2517,0.5125
44,0.8906,0.0029,0.0029,0.9226
45,-0.3084,-0.1418,-0.1418,0.1488
46,0.3073,-0.3079,-0.3079,0.1317
47,0.3723,0.3111,0.3111,-0.1014
48,0.5808,-0.0307,-0.0307,0.445
49,-0.0592,0.0015,0.0015,-0.3048
50,0.6393,-0.456,-0.456,-0.1592
51,0.7255,0.3581,0.3581,0.4963
52,0.6992,0.0003,0.0003,0.698
53,-0.0042,-0.0066,-0.0066,-0.2672
54,0.2359,-0.0459,-0.0459,0.3266
55,-0.185,0.3771,0.3771,0.0862
56,0.4562,-0.2764,-0.2764,0.7411
57,0.1251,0.015,0.015,0.1271
58,-0.1121,-0.254,-0.254,0.4086
59,-0.1616,0.1727,0.1727,0.7552
60,0.4527,0.269,0.269,0.7061
61,-0.408,-0.0814,-0.0814,-0.407
62,0.6788,-0.2463,-0.2463,0.134
63,0.5578,0.1011,0.1011,-0.1008
64,0.9265,-0.1236,-0.1236,0.597
65,0.058,-0.003,-0.003,0.0777
66,0.2435,-0.41,-0.41,-0.2523
67,0.4658,0.4923,0.4923,0.2709
68,0.7317,0.1221,0.1221,0.3795
69,-0.3615,0.019,0.019,-0.1997
70,0.299,-0.2597,-0.2597,0.5876
71,0.0888,0.1683,0.1683,0.1344
72,0.4008,-0.0805,-0.0805,0.5085
73,-0.0708,0.2215,0.2215,0.0384
74,-0.2149,-0.281,-0.281,0.8316
75,0.2029,0.0364,0.0364,0.7132
76,0.7288,0.1313,0.1313,0.9287
77,-0.2176,-0.2038,-0.2038,-0.1012
78,0.3703,-0.1275,-0.1275,-0.0414
79,0.4478,0.0836,0.0836,-0.4783
80,0.4098,0.072,0.072,0.4559
81,-0.1443,0.1332,0.1332,-0.3774
82,0.7094,-0.0069,-0.0069,-0.3424
83,0.8773,0.1878,0.1878,0.0488
84,0.7041,-0.1077,-0.1077,0.7816
85,0.1738,-0.1747,-0.1747,-0.1719
86,0.1941,-0.0101,-0.0101,0.5985
87,-0.2513,0.1675,0.1675,0.3809
88,0.3255,-0.0835,-0.0835,0.7696
89,-0.0793,0.0608,0.0608,0.0455
90,0.06,-0.2183,-0.2183,0.089
91,-0.0223,0.479,0.479,0.4718
92,0.5308,0.0483,0.0483,0.8448
93,-0.3881,-0.0798,-0.0798,-0.2115
94,0.4483,-0.4755,-0.4755,0.443
95,0.4606,0.2142,0.2142,0.2592
96,0.6065,0.0455,0.0455,0.4701
97,-0.1483,0.0107,0.0107,-0.0076
98,-0.1785,-0.5566,-0.5566,0.7305
99,0.3792,0.3493,0.3493,0.5579
100,0.7577,-0.0046,-0.0046,0.7419
101,-0.1677,-0.0071,-0.0071,-0.0431
102,0.2684,-0.0897,-0.0897,0.1393
103,0.0476,0.3555,0.3555,-0.107
104,0.7564,-0.2038,-0.2038,0.5149
105,0.1719,-0.0013,-0.0013,0.1722
106,0.4904,-0.2335,-0.2335,-0.1444
107,0.643,0.0859,0.0859,-0.2173
108,0.8251,0.2121,0.2121,0.5523
109,-0.4001,0.0692,0.0692,-0.3775
110,-0.025,-0.2349,-0.2349,0.5662
111,0.0416,0.0576,0.0576,0.4772
112,0.5808,-0.1052,-0.1052,0.5878
113,-0.0227,-0.0211,-0.0211,-0.0408
